epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.767387,1.14345,3.37225,1.53648,0.00334,1,0.53378,0.49164,0.3543,3.13315,0.92048,2.5e-05,2.5e-05,2.5e-05
2,1.33885,1.17492,3.44196,1.60943,0.00337,1,0.46336,0.41702,0.34466,3.13138,0.9167,6.12625e-05,6.12625e-05,6.12625e-05
3,1.95087,1.03349,3.37466,1.45118,0.00348,1,0.4975,0.46433,0.33051,3.12775,0.91198,9.604e-05,9.604e-05,9.604e-05
4,2.52608,1.04766,3.2605,1.53219,0.00383,1,0.4436,0.40754,0.26849,3.116,0.87627,0.000129332,0.000129332,0.000129332
5,3.09067,1.0126,3.12501,1.45934,0.00411,1,0.4975,0.43946,0.29462,3.11554,0.88674,0.00016114,0.00016114,0.00016114
6,3.66782,0.99192,3.01974,1.47674,0.00479,1,0.45604,0.37395,0.4779,3.10299,0.96652,0.000191463,0.000191463,0.000191463
7,4.22534,0.98667,2.86014,1.45289,0.00467,1,0.45604,0.38971,0.51676,3.09786,1.0035,0.0002203,0.0002203,0.0002203
8,4.78652,1.15751,2.82048,1.59251,0.00475,1,0.43531,0.38142,0.59147,3.07199,1.01683,0.000247653,0.000247653,0.000247653
9,5.34321,0.92765,2.56945,1.38567,0.00451,1,0.70479,0.59285,0.66883,3.02362,1.03859,0.00027352,0.00027352,0.00027352
10,5.92223,1.02541,2.47585,1.43989,0.0042,1,0.74625,0.60944,0.61715,2.93291,0.99147,0.000297903,0.000297903,0.000297903
11,6.49727,0.92294,2.43441,1.37815,0.00396,1,0.74625,0.60944,0.58351,2.83935,1.00721,0.0003208,0.0003208,0.0003208
12,7.07877,0.94212,2.35189,1.37222,0.00384,1,0.74625,0.67162,0.59772,2.73343,1.00408,0.000342213,0.000342213,0.000342213
13,7.65606,0.9217,2.20655,1.39025,0.84901,0.5,0.87062,0.796,0.58793,2.63166,0.9965,0.00036214,0.00036214,0.00036214
14,8.23892,0.89053,2.22151,1.35205,0.90141,0.25,0.80844,0.72759,0.46253,2.54579,0.95756,0.000380582,0.000380582,0.000380582
15,8.78948,0.85504,2.04804,1.31183,0.90141,0.25,0.80844,0.72759,0.46253,2.54579,0.95756,0.00039754,0.00039754,0.00039754
16,9.34239,0.81731,2.06251,1.2851,0.25379,0.75,0.68406,0.62187,0.50944,2.47471,0.97155,0.000413012,0.000413012,0.000413012
17,9.90558,1.04074,2.22047,1.45386,0.00339,1,0.70479,0.60529,0.5693,2.27106,1.00662,0.000427,0.000427,0.000427
18,10.4586,0.92326,2.05704,1.31506,0.00339,1,0.70479,0.60529,0.5693,2.27106,1.00662,0.000439502,0.000439502,0.000439502
19,11.0226,0.99764,2.0429,1.41915,0.75632,0.75,0.995,0.82088,0.67513,1.95285,1.07331,0.00045052,0.00045052,0.00045052
20,11.6033,0.85297,1.90517,1.32654,0.68294,1,0.995,0.82088,0.69363,1.68719,1.03204,0.000460053,0.000460053,0.000460053
21,12.1692,1.00396,2.11416,1.46965,0.68294,1,0.995,0.82088,0.69363,1.68719,1.03204,0.0004681,0.0004681,0.0004681
22,12.7466,0.92184,1.89598,1.33109,0.57932,0.75,0.995,0.92037,0.62335,1.68321,0.96478,0.000474663,0.000474663,0.000474663
23,13.3244,0.9946,1.98351,1.43537,0.57932,0.75,0.995,0.92037,0.62335,1.68321,0.96478,0.00047974,0.00047974,0.00047974
24,13.9073,0.84184,1.77018,1.2879,0.57415,0.75,0.87062,0.77112,0.67325,1.55949,1.00955,0.000483333,0.000483333,0.000483333
25,14.4648,0.81268,1.69833,1.23631,0.57415,0.75,0.87062,0.77112,0.67325,1.55949,1.00955,0.00048544,0.00048544,0.00048544
26,15.0351,0.85179,1.72486,1.30355,0.54242,1,0.995,0.796,0.72947,1.43769,1.06648,0.000486063,0.000486063,0.000486063
27,15.5902,0.95409,1.93858,1.36934,0.54242,1,0.995,0.796,0.72947,1.43769,1.06648,0.0004852,0.0004852,0.0004852
28,16.1553,0.80123,1.64372,1.31678,0.64728,1,0.995,0.82226,0.68619,1.3431,1.03448,0.000482852,0.000482852,0.000482852
29,16.7054,1.04767,1.68663,1.39027,0.64728,1,0.995,0.82226,0.68619,1.3431,1.03448,0.00047902,0.00047902,0.00047902
30,17.2568,0.88731,1.65908,1.37785,0.64728,1,0.995,0.82226,0.68619,1.3431,1.03448,0.000473703,0.000473703,0.000473703
31,17.8223,0.97896,1.63364,1.35652,0.69254,1,0.995,0.8955,0.61454,1.24948,1.00436,0.0004669,0.0004669,0.0004669
32,18.3776,0.78024,1.63327,1.23767,0.69254,1,0.995,0.8955,0.61454,1.24948,1.00436,0.000458613,0.000458613,0.000458613
33,18.9383,0.81483,1.62753,1.293,0.50503,1,0.995,0.8955,0.56626,1.28075,1.00041,0.00044884,0.00044884,0.00044884
34,19.4961,0.70341,1.34739,1.13208,0.50503,1,0.995,0.8955,0.56626,1.28075,1.00041,0.00043325,0.00043325,0.00043325
35,20.0477,0.7281,1.33551,1.12907,0.50503,1,0.995,0.8955,0.56626,1.28075,1.00041,0.0004085,0.0004085,0.0004085
36,20.6094,0.75073,1.50583,1.19409,0.4965,1,0.87062,0.75869,0.60649,1.23406,1.00639,0.00038375,0.00038375,0.00038375
37,21.1593,0.75436,1.35121,1.19096,0.4965,1,0.87062,0.75869,0.60649,1.23406,1.00639,0.000359,0.000359,0.000359
38,21.7106,0.79849,1.45017,1.27949,0.4965,1,0.87062,0.75869,0.60649,1.23406,1.00639,0.00033425,0.00033425,0.00033425
39,22.2789,0.82186,1.46058,1.27725,0.51535,1,0.87062,0.75869,0.5627,1.08927,0.98126,0.0003095,0.0003095,0.0003095
40,22.8274,0.84522,1.27147,1.20917,0.51535,1,0.87062,0.75869,0.5627,1.08927,0.98126,0.00028475,0.00028475,0.00028475
41,24.0835,0.6241,2.05149,1.21182,0.58394,1,0.87062,0.75869,0.53675,1.07912,0.97261,0.00026,0.00026,0.00026
42,24.7312,0.61581,1.96126,1.15557,0.58394,1,0.87062,0.75869,0.53675,1.07912,0.97261,0.00023525,0.00023525,0.00023525
43,25.3047,0.691,2.02362,1.29998,0.58394,1,0.87062,0.75869,0.53675,1.07912,0.97261,0.0002105,0.0002105,0.0002105
44,25.8691,0.78744,2.15596,1.37244,0.63472,1,0.87062,0.75869,0.61062,1.20412,0.97159,0.00018575,0.00018575,0.00018575
45,26.4221,0.77496,1.97812,1.32588,0.63472,1,0.87062,0.75869,0.61062,1.20412,0.97159,0.000161,0.000161,0.000161
46,26.9753,0.76816,2.16773,1.36863,0.63472,1,0.87062,0.75869,0.61062,1.20412,0.97159,0.00013625,0.00013625,0.00013625
47,27.5359,0.67099,2.01556,1.29714,0.64428,1,0.87062,0.78356,0.58488,1.07125,0.9637,0.0001115,0.0001115,0.0001115
48,28.089,0.65686,2.01448,1.2508,0.64428,1,0.87062,0.78356,0.58488,1.07125,0.9637,8.675e-05,8.675e-05,8.675e-05
49,28.6569,0.60312,1.84797,1.17051,0.67272,1,0.87062,0.75869,0.60169,1.09769,0.96582,6.2e-05,6.2e-05,6.2e-05
50,29.2115,0.64768,1.90902,1.21889,0.67272,1,0.87062,0.75869,0.60169,1.09769,0.96582,3.725e-05,3.725e-05,3.725e-05
